Tipo,"Denominación",N°,Fecha,"Medio de publicación y fecha","Fecha de última actualización","Efectos Generales","Descripción del objeto del acto"
Resolución,"Convenio de colaboración entre la Municipalidad de Ranco y el Consejo para la Transparencia",673,27.12.2013,"Sitio web 08.01.2014","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Villa Alegre y el Consejo para la Transparencia",671,27.12.2013,"Sitio web 08.01.2014","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Pelarco y el Consejo para la Transparencia",670,27.12.2013,"Sitio web 08.01.2014","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Sagrada Familia y el Consejo para la Transparencia",669,27.12.2013,"Sitio web 08.01.2014","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Yerbas Buenas y el Consejo para la Transparencia",668,27.12.2013,"Sitio web 08.01.2014","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Pencahue y el Consejo para la Transparencia",667,27.12.2013,"Sitio web 08.01.2014","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de San Rafael y el Consejo para la Transparencia",666,27.12.2013,"Sitio web 08.01.2014","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Talca y el Consejo para la Transparencia",665,27.12.2013,"Sitio web 08.01.2014","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Teno y el Consejo para la Transparencia",664,27.12.2013,"Sitio web 08.01.2014","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Curicó  y el Consejo para la Transparencia",663,27.12.2013,"Sitio web 08.01.2014","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Romeral  y el Consejo para la Transparencia",662,27.12.2013,"Sitio web 08.01.2014","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Nancagua y el Consejo para la Transparencia",659,20.12.2013,"","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Lolol y el Consejo para la Transparencia",658,20.12.2013,"Sitio web 08.01.2014","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Lago Verde y el Consejo para la Transparencia",657,20.12.2013,"","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"[Convenio](/consejo/site/artic/20131105/asocfile/20131105164728/fortalecimiento_del_ejercicio_del_derecho_al_acceso_a_la_informaci__n_p__blica_en_chile_pnud.pdf) de Asistencia Preparatoria entre el Consejo para la Transparencia y el Programa de Naciones Unidas para el Desarrollo (PNUD)",686,28.12.2012,"","Sin modificaciones","No","Se aprueba el segundo convenio sobre el proyecto denominado "Expandiendo el derecho de acceso a la información para fortalecer la democracia y gobernabilidad", en el cual se trabajará en capacitaciones, ley 20.285, impacto del derecho de acceso, líneas estratégicas de colaboración entre el PNUD y el CPLT, entre otros"
Resolución,"Convenio de colaboración entre la Municipalidad de Padre Hurtado y el Consejo para la Transparencia",625,06.11.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Chimbarongo y el Consejo para la Transparencia",618,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Yungay y el Consejo para la Transparencia",612,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Chiguayante   y el Consejo para la Transparencia",611,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Colemu y el Consejo para la Transparencia",610,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Cabrero y el Consejo para la Transparencia",609,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Chillán y el Consejo para la Transparencia",608,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Chillán Viejo y el Consejo para la Transparencia",607,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Coihueco  y el Consejo para la Transparencia",606,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Contulmo  y el Consejo para la Transparencia",605,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Curanilahue  y el Consejo para la Transparencia",604,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de los Alamos  y el Consejo para la Transparencia",602,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Nacimiento y el Consejo para la Transparencia",601,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Quirihue  y el Consejo para la Transparencia",600,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Lota y el Consejo para la Transparencia",599,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Lebu y el Consejo para la Transparencia",598,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Yumbel y el Consejo para la Transparencia",597,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de San Carlos y el Consejo para la Transparencia",596,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Trehuaco y el Consejo para la Transparencia",595,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Penco y el Consejo para la Transparencia",594,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Buelnes y el Consejo para la Transparencia",593,30.10.2013,"Sitio web 08.11.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Alto del Carmen y el Consejo para la Transparencia",478,04.09.2012,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de La Reina y el Consejo para la Transparencia",472,02.09.2012,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Paihuano y el Consejo para la Transparencia",471,02.09.2012,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Monte Patria y el Consejo para la Transparencia",470,02.09.2012,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Combarbalá y el Consejo para la Transparencia",469,02.09.2012,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de la Serena y el Consejo para la Transparencia",468,02.09.2012,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Salamanca y el Consejo para la Transparencia",467,02.09.2012,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Illapel y el Consejo para la Transparencia",466,02.09.2012,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Codegua y el Consejo para la Transparencia",431,19.08.2013,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de General Lagos y el Consejo para la Transparencia",430,19.08.2013,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Putre y el Consejo para la Transparencia",429,19.08.2013,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Camarones y el Consejo para la Transparencia",428,19.08.2013,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Sierra Gorda y el Consejo para la Transparencia",408,07.08.2013,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Hualpén y el Consejo para la Transparencia",407,07.08.2013,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Tocopilla y el Consejo para la Transparencia",406,07.08.2013,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Antofagasta y el Consejo para la Transparencia",405,07.08.2013,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Taltal y el Consejo para la Transparencia",404,07.08.2013,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Ollague y el Consejo para la Transparencia",403,07.08.2013,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Calama y el Consejo para la Transparencia",402,07.08.2013,"Sitio web
05.09.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Pozo Almonte y el Consejo para la Transparencia",357,19.07.2013,"Sitio web
10.08.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Pica y el Consejo para la Transparencia",358,19.07.2013,"Sitio web
10.08.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Iquique y el Consejo para la Transparencia",355,19.07.2013,"Sitio web
10.08.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Colchane y el Consejo para la Transparencia",354,19.07.2013,"Sitio web
10.08.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Alto Hospicio y el Consejo para la Transparencia",356,19.07.2013,"Sitio web
10.08.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado"
Resolución,"Convenio de colaboración entre la Municipalidad de Porvenir y el Consejo para la Transparencia",235,27.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Punta Arenas y el Consejo para la Transparencia",234,27.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Río Verde y el Consejo para la Transparencia",233,27.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Torres del Paine y el Consejo para la Transparencia",232,27.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Cabo de Hornos y el Consejo para la Transparencia",231,27.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Natales y el Consejo para la Transparencia",230,27.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Primavera y el Consejo para la Transparencia",229,27.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Molina y el Consejo para la Transparencia",228,27.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Independencia y el Consejo para la Transparencia",227,27.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Renaico y el Consejo para la Transparencia",226,27.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de El Monte y el Consejo para la Transparencia",224,27.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Peñalolén y el Consejo para la Transparencia",222,24.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Doñihue y el Consejo para la Transparencia",221,24.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Isla de Maipo y el Consejo para la Transparencia",206,16.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Calle Larga y el Consejo para la Transparencia",202,14.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Cerro Navia y el Consejo para la Transparencia",201,14.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Buin y el Consejo para la Transparencia",200,14.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de San José de Maipo y el Consejo para la Transparencia",199,14.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Secretaría General de la Presidencia y el Consejo para la Transparencia",186,10.05.2013,"Sitio web
9.06.2013","Sin modificaciones","No","Regula el funcionamiento y operación del Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Lo Prado y el Consejo para la Transparencia",179,08.05.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de La Calera y el Consejo para la Transparencia",178,08.05.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Quilpué y el Consejo para la Transparencia",177,08.05.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Coltauco y el Consejo para la Transparencia",175,08.05.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Vitacura y el Consejo para la Transparencia",174,08.05.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de San Joaquín y el Consejo para la Transparencia",173,08.05.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Malloa y el Consejo para la Transparencia",172,08.05.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Zapallar y el Consejo para la Transparencia",171,07.05.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Pirque y el Consejo para la Transparencia",170,07.05.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Hijuelas y el Consejo para la Transparencia",169,07.05.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de San Antonio y el Consejo para la Transparencia",163,03.05.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de La Granja y el Consejo para la Transparencia",148,26.04.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Cerrillos y el Consejo para la Transparencia",147,26.04.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Recoleta y el Consejo para la Transparencia",127,09.04.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Huechuraba y el Consejo para la Transparencia",126,09.04.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Quinta Normal y el Consejo para la Transparencia",125,09.04.2013,"Sitio web
9.05.2013","Sin modificaciones","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Decreto del Ministerio del Interior,"Aprueba convenio de colaboración entre la SUBDERE y el Consejo para la Transparencia",1037,07.03.13,"Sitio web
30.05.13","Oficio Min.Int (Ord) N° 2305 del 20.05.13 de la Subdere que informa la total tramitación del Decreto 1037","No","Implementar el Modelo de Gestión en Transparencia Municipal y el Portal de Transparencia del Estado."
Resolución,"Convenio de colaboración entre la Municipalidad de Viña del Mar y el Consejo para la Transparencia",362,4.07.2012,"Sitio web
4.07.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Villa Alemana y el Consejo para la Transparencia",347,27.06.2012,"Sitio web
27.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de La Calera y el Consejo para la Transparencia",346,27.06.2012,"Sitio web
27.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Las Cabras y el Consejo para la Transparencia",342,26.06.2012,"Sitio web
26.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de El Monte y el Consejo para la Transparencia",341,22.06.2012,"Sitio web
22.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Doñihue y el Consejo para la Transparencia",331,20.06.2012,"Sitio web
20.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de San Felipe y el Consejo para la Transparencia",329,19.06.2012,"Sitio web
19.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Coltauco y el Consejo para la Transparencia",315,14.06.2012,"Sitio web
14.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Cartagena y el Consejo para la Transparencia",314,14.06.2012,"Sitio web
14.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Vitacura y el Consejo para la Transparencia",313,14.06.2012,"Sitio web
14.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Putaendo y el Consejo para la Transparencia",312,14.06.2012,"Sitio web
14.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Olmué y el Consejo para la Transparencia",311,14.06.2012,"Sitio web
14.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Santa María y el Consejo para la Transparencia",310,14.06.2012,"Sitio web
14.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Isla de Maipo y el Consejo para la Transparencia",309,14.06.2012,"Sitio web
14.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
